Carimbo de data/hora,1. Em qual período / semestre do seu curso de graduação você se encontra atualmente? *,2. Qual era a sua relação com o desenvolvimento de software antes de ingressar na faculdade?,3. Você atua ou já atuou profissionalmente como desenvolvedor(a) de software? ,4. Qual é o seu foco principal de atuação ou interesse?,5. Qual é a sua faixa etária?,6. Qual é a sua modalidade de contratação atual?,7. Como você se classifica profissionalmente?,8. Anos de experiência total em projetos de software (incluindo acadêmicos)?,9. Quais dessas tecnologias / stacks você usa ou domina?,10. Quais idiomas você domina em nível intermediário ou avançado (capaz de utilizar no ambiente de trabalho)?,"11. Você possui alguma certificação profissional na área de tecnologia (ex: AWS, Azure, Scrum, GitHub, Oracle, etc.)?",12. Como você avalia o mercado de tecnologia no Brasil atualmente?,"13. Como você avalia o impacto prático da IA generativa (ex: ChatGPT, GitHub Copilot, etc.) no seu trabalho ou estudos hoje?",14. Qual mudança você considera maior ameaça para desenvolvedores nos próximos 3 anos?,15. Você tem interesse em trabalhar remotamente para empresas do exterior?,16. Qual é o seu principal objetivo nos próximos 12 meses em relação à carreira?,17. O que mais te motiva a seguir ou permanecer na carreira de desenvolvimento de software?,18. Qual habilidade você sente mais necessidade de desenvolver?,"19. No seu ambiente de trabalho (ou projetos acadêmicos/pessoais), com qual frequência você utiliza métricas para avaliar o software ou a produtividade do time (ex: code coverage, commits, velocity, tempo de entrega, volumetria de bugs)?"
12/06/2026 19:18:05,5º ao 6º período,Nula — Nunca tinha programado ou trabalhado na área; comecei do zero na faculdade.,"Sim, atualmente  —  Estou empregado(a) na área","Back-end, Front-end, Full-stack",22 – 25 anos,CLT,Pleno,3 – 5 anos,"Java, C# / .NET, SQL / Bancos de dados, AWS / GCP / Azure",Não possuo domínio de outros idiomas além do português,"Não, mas estou estudando para obter uma nos próximos meses","Estável  —  Vagas existem, mas a concorrência é alta",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,"Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs, Estagnação salarial  —  Salários não acompanhando custo de vida ou inflação, Velocidade das mudanças tecnológicas  —  Dificuldade de manter o conhecimento atualizado","Sim, é uma meta","Ser promovido(a) / subir de nível, Migrar para uma empresa maior ou mais reconhecida","Remuneração e pacotes de benefícios atrativos, Flexibilidade (como a possibilidade de atuar em Home Office), Desafio intelectual e a satisfação de resolver problemas complexos","Soft skills / comunicação, Inglês técnico, Testes automatizados, Cloud / DevOps",Não sei opinar / Não me aplico
12/06/2026 19:26:06,5º ao 6º período,Nula — Nunca tinha programado ou trabalhado na área; comecei do zero na faculdade.,"Sim, atualmente  —  Estou empregado(a) na área",Full-stack,22 – 25 anos,Estágio,Estágio / Trainee,3 – 5 anos,Python,Não possuo domínio de outros idiomas além do português,"Não, mas estou estudando para obter uma nos próximos meses","Estável  —  Vagas existem, mas a concorrência é alta",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs,"Talvez, ainda avaliando",Ser promovido(a) / subir de nível,"Remuneração e pacotes de benefícios atrativos, Flexibilidade (como a possibilidade de atuar em Home Office)","Soft skills / comunicação, Inglês técnico, Gestão / Liderança",Frequente — Monitoramos métricas em dashboards e elas guiam nossas decisões e entregas.
12/06/2026 19:28:05,5º ao 6º período,Nula — Nunca tinha programado ou trabalhado na área; comecei do zero na faculdade.,"Sim, atualmente  —  Estou empregado(a) na área","Mobile, Gestão / PM",26 – 30 anos,Estágio,Estágio / Trainee,3 – 5 anos,Python,Inglês,Não possuo e não tenho interesse no momento,"Estável  —  Vagas existem, mas a concorrência é alta",Negativo — Sinto que prejudica o aprendizado profundo ou gera dependência excessiva,"Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs, Velocidade das mudanças tecnológicas  —  Dificuldade de manter o conhecimento atualizado","Sim, é uma meta","Ser promovido(a) / subir de nível, Migrar para uma empresa maior ou mais reconhecida","Remuneração e pacotes de benefícios atrativos, Flexibilidade (como a possibilidade de atuar em Home Office)","Arquitetura de software, Testes automatizados, Análise de dados",Rara / Nula — Não medimos nada formalmente; focamos apenas em entregar as tarefas no prazo.
12/06/2026 19:30:49,7º ao 8º período,Nula — Nunca tinha programado ou trabalhado na área; comecei do zero na faculdade.,"Sim, atualmente  —  Estou empregado(a) na área","Back-end, Pesquisa Acadêmica",31 – 35 anos,CLT,Júnior,3 – 5 anos,"Python, Java, Go, SQL / Bancos de dados, AWS / GCP / Azure",Inglês,"Não, mas estou estudando para obter uma nos próximos meses","Estável  —  Vagas existem, mas a concorrência é alta",Negativo — Sinto que prejudica o aprendizado profundo ou gera dependência excessiva,Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs,"Sim, é uma meta","Ser promovido(a) / subir de nível, Trabalhar para o exterior ou me mudar","Remuneração e pacotes de benefícios atrativos, Flexibilidade (como a possibilidade de atuar em Home Office), Desafio intelectual e a satisfação de resolver problemas complexos, Ampla quantidade de vagas e estabilidade relativa do setor","Inglês técnico, Arquitetura de software, IA / Machine Learning",Frequente — Monitoramos métricas em dashboards e elas guiam nossas decisões e entregas.
12/06/2026 19:31:27,5º ao 6º período,Nula — Nunca tinha programado ou trabalhado na área; comecei do zero na faculdade.,"Ainda não, mas busco meu primeiro emprego  —  Cursando, sem experiência formal ainda","QA / Testes, Gestão / PM",18 – 21 anos,PJ,Júnior,1 – 2 anos,"Python, Java",Inglês,"Não, mas estou estudando para obter uma nos próximos meses, Não possuo e não tenho interesse no momento","Resfriado  —  Vagas escassas, difícil entrar ou crescer",Negativo — Sinto que prejudica o aprendizado profundo ou gera dependência excessiva,"Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs, Concorrência global em remote work  —  Profissionais de outros países competindo pelas mesmas vagas, Velocidade das mudanças tecnológicas  —  Dificuldade de manter o conhecimento atualizado","Sim, é uma meta","Conseguir meu primeiro emprego como dev, Migrar para uma empresa maior ou mais reconhecida, Trabalhar para o exterior ou me mudar","Flexibilidade (como a possibilidade de atuar em Home Office), Ampla quantidade de vagas e estabilidade relativa do setor","Arquitetura de software, Testes automatizados, Análise de dados, Gestão / Liderança",Não sei opinar / Não me aplico
12/06/2026 19:31:27,5º ao 6º período,"Apenas estudos autônomos / cursos livres — Já estudava lógica ou linguagens por conta própria (YouTube, cursos online, etc.), mas não trabalhava.","Sim, mas não mais  —  Já trabalhei, hoje estou em outra área ou parado(a)","Back-end, QA / Testes",22 – 25 anos,PJ,Estágio / Trainee,1 – 2 anos,"Java, C# / .NET",Não possuo domínio de outros idiomas além do português,Não possuo e não tenho interesse no momento,"Resfriado  —  Vagas escassas, difícil entrar ou crescer","Neutro — Utilizo pontualmente, mas não mudou minha rotina de forma significativa","Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs, Estagnação salarial  —  Salários não acompanhando custo de vida ou inflação","Sim, é uma meta",Empreender / criar meu próprio negócio,Flexibilidade (como a possibilidade de atuar em Home Office),"Soft skills / comunicação, Inglês técnico, Arquitetura de software",Rara / Nula — Não medimos nada formalmente; focamos apenas em entregar as tarefas no prazo.
12/06/2026 19:31:31,5º ao 6º período,Nula — Nunca tinha programado ou trabalhado na área; comecei do zero na faculdade.,"Sim, mas não mais  —  Já trabalhei, hoje estou em outra área ou parado(a)",Full-stack,22 – 25 anos,Estágio,Estágio / Trainee,1 – 2 anos,"JavaScript / TypeScript, SQL / Bancos de dados",Não possuo domínio de outros idiomas além do português,"Não, mas estou estudando para obter uma nos próximos meses","Estável  —  Vagas existem, mas a concorrência é alta",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,Estagnação salarial  —  Salários não acompanhando custo de vida ou inflação,"Talvez, ainda avaliando",Migrar para uma empresa maior ou mais reconhecida,Desafio intelectual e a satisfação de resolver problemas complexos,Inglês técnico,"Ocasional — Olhamos algumas métricas de vez em quando (ex: cobertura de testes), mas não é um processo rígido."
12/06/2026 19:31:46,7º ao 8º período,"Apenas estudos autônomos / cursos livres — Já estudava lógica ou linguagens por conta própria (YouTube, cursos online, etc.), mas não trabalhava.","Sim, atualmente  —  Estou empregado(a) na área","Back-end, Front-end, Full-stack, Mobile, Gestão / PM",22 – 25 anos,"CLT, Freelancer / autônomo",Pleno,3 – 5 anos,"JavaScript / TypeScript, Python, SQL / Bancos de dados, PHP","Inglês, Italiano, francês ",Não possuo e não tenho interesse no momento,"Estável  —  Vagas existem, mas a concorrência é alta",Negativo — Sinto que prejudica o aprendizado profundo ou gera dependência excessiva,Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs,"Sim, é uma meta","Ser promovido(a) / subir de nível, Migrar para uma empresa maior ou mais reconhecida, Trabalhar para o exterior ou me mudar, Seguir carreira acadêmica / mestrado / doutorado, Empreender / criar meu próprio negócio","Remuneração e pacotes de benefícios atrativos, Flexibilidade (como a possibilidade de atuar em Home Office), Desafio intelectual e a satisfação de resolver problemas complexos","IA / Machine Learning, Análise de dados","Ocasional — Olhamos algumas métricas de vez em quando (ex: cobertura de testes), mas não é um processo rígido."
12/06/2026 19:31:48,7º ao 8º período,Nula — Nunca tinha programado ou trabalhado na área; comecei do zero na faculdade.,"Sim, atualmente  —  Estou empregado(a) na área","Back-end, Front-end",22 – 25 anos,CLT,Júnior,3 – 5 anos,JavaScript / TypeScript,Inglês,"Não, mas estou estudando para obter uma nos próximos meses","Estável  —  Vagas existem, mas a concorrência é alta",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,"Concorrência global em remote work  —  Profissionais de outros países competindo pelas mesmas vagas, Estagnação salarial  —  Salários não acompanhando custo de vida ou inflação, Velocidade das mudanças tecnológicas  —  Dificuldade de manter o conhecimento atualizado","Sim, é uma meta",Migrar para uma empresa maior ou mais reconhecida,"Remuneração e pacotes de benefícios atrativos, Flexibilidade (como a possibilidade de atuar em Home Office)","Inglês técnico, Arquitetura de software, Testes automatizados, Cloud / DevOps, IA / Machine Learning",Frequente — Monitoramos métricas em dashboards e elas guiam nossas decisões e entregas.
12/06/2026 19:31:56,5º ao 6º período,"Apenas estudos autônomos / cursos livres — Já estudava lógica ou linguagens por conta própria (YouTube, cursos online, etc.), mas não trabalhava.","Sim, atualmente  —  Estou empregado(a) na área","Back-end, Full-stack, Dados / BI",18 – 21 anos,Estágio,Estágio / Trainee,3 – 5 anos,"JavaScript / TypeScript, Python, SQL / Bancos de dados",Inglês,"Não, mas estou estudando para obter uma nos próximos meses","Estável  —  Vagas existem, mas a concorrência é alta",Altamente positivo — Aumentou consideravelmente minha produtividade e aprendizado,"Substituição por IA / automação  —  Ferramentas de geração de código reduzindo demanda por devs, Velocidade das mudanças tecnológicas  —  Dificuldade de manter o conhecimento atualizado","Sim, é uma meta","Ser promovido(a) / subir de nível, Migrar para uma empresa maior ou mais reconhecida, Trabalhar para o exterior ou me mudar","Flexibilidade (como a possibilidade de atuar em Home Office), Impacto real dos produtos construídos na vida das pessoas","Arquitetura de software, Cloud / DevOps, Análise de dados, Gestão / Liderança","Ocasional — Olhamos algumas métricas de vez em quando (ex: cobertura de testes), mas não é um processo rígido."
